Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Associate Director, Statistics",-1,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
Takeda Development Center Americas, Inc. is seeking a Associate Director, Statistics in Lexington, MA with the following requirements: Master’s degree in Statistics, Biostatistics, or related field or foreign equivalent degree and six years of related experience. REQUIRED SKILLS: Act as lead study statistician for multiple phase I-IV clinical projects within the rare genetic and hematology or related therapeutic area (5 yrs). Manage daily operations of the Biostatistics, Statistical Programming and Clinical Data Management departments in support of global pharmaceutical client drug development activities (2 yrs). Build and publish with peers a novel R package for the normalization of NanoString miRNA and mRNA data. Provide strategic input on functional analytics work-flows and data pipelines, and develop core data transformation, data visualization, statistical analysis, machine learning and regulatory reporting programs for all functions within Biometrics (2 yrs).
Lexington, MA
Employee
Regular
Full time",4.1,"Takeda Pharmaceutical
4.1","Lexington, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
"Director, Health Economics and Predictive Modeling",-1,"At Eisai, satisfying unmet medical needs and increasing the benefits healthcare provides to patients, their families, and caregivers is Eisai’s human health care (hhc) mission. We’re a growing pharmaceutical company that is breaking through in neurology and oncology, with a strong emphasis on research and development. Our history includes the development of many innovative medicines, notably the discovery of the world's most widely-used treatment for Alzheimer’s disease. As we continue to expand, we are seeking highly-motivated individuals who want to work in a fast-paced environment and make a difference. If this is your profile, we want to hear from you.
Job Summary
The incumbent will be an integral member of the Global Value & Access (GV&A) team of Alzheimer’s Disease Franchise (ADF), and is responsible for overseeing a broad portfolio of sophisticated health economic, policy and advanced modeling research projects in a collaborative project team structure. The incumbent will develop, direct and/or oversee the application of a variety of advanced modeling techniques to deliver high quality, impactful and successful projects that ensures optimal patient access. Act as scientific leader in the latest modelling methodology that optimizes the assessment of Eisai Neurology products. In addition, the incumbent will ensure quality is maintained in all aspects of technical work as well as manage performance and ensure adequate training and support of staff. Some travel may be required for project management and/or business development.",3.4,"Eisai
3.4","Nutley, NJ",201 to 500 Employees,-1,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
"Senior Manager, Data Architect, Global Drug Development","$144,780 /yr (est.)","Working with Us
Challenging. Meaningful. Life-changing. Those aren’t words that are usually associated with a job. But working at Bristol Myers Squibb is anything but usual. Here, uniquely interesting work happens every day, in every department. From optimizing a production line to the latest breakthroughs in cell therapy, this is work that transforms the lives of patients, and the careers of those who do it. You’ll get the chance to grow and thrive through opportunities uncommon in scale and scope, alongside high-achieving teams rich in diversity. Take your career farther than you thought possible.
Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees with the resources to pursue their goals, both at work and in their personal lives. Read more: careers.bms.com/working-with-us
At BMS, digital innovation and Information Technology are central to our vision of transforming patients’ lives through science. To accelerate our ability to serve patients around the world, we must unleash the power of technology. We are committed to being at the forefront of transforming the way medicine is made and delivered by harnessing the power of computer and data science, artificial intelligence, and other technologies to promote scientific discovery, faster decision making, and enhanced patient care. This is work that transforms the lives of patients, and the careers of those who do it. You’ll get the chance to grow and thrive through opportunities uncommon in scale and scope, alongside high-achieving teams rich in diversity. Take your career farther than you thought possible. If you want an exciting and rewarding career that is meaningful, consider joining our diverse team!

Summary:

The Information and Data Architecture discipline has a critical importance for Bristol Myers Squibb to enable a data-driven culture and fully harness the power of data. Data architecture enables cross-functional information exchange, system integrations, analytic capabilities, and creates the foundation for AI & ML capabilities. As part of the GDD Data & Analytics team the incumbent will gain visibility into business processes by supporting data landscapes for multiple functional areas such as (but not limited to) Global Clinical Development, R&D Portfolio Operations, Global Regulatory Sciences, Global Biometrics and Data Sciences, Worldwide Patient Safety etc.

Accountable for driving information and data architecture decisions for digital capabilities, understanding the landscape of data needs as a key link between business processes and information systems, creating and maintaining architectural artifacts, including data models and information blueprints. Act as key member of project delivery teams supporting the needs of the project while applying an enterprise mindset for developing data flow diagrams and data models. Partners with GDD IT Product Owner/Business Partner(s), Business Unit stakeholders, Data Partners, and broader community of Information/Data architects across the enterprise, to develop and sustain the GDD data strategy and target data architecture. Drives the evolution of BMS Information architecture, adhering to information and data architecture principles, guidelines, and standards in partnership with broader data architecture community. Drives decisions on appropriate information and data integration architecture patterns.

Key Responsibilities:",3.9,"Bristol Myers Squibb
3.9","Princeton, NJ",10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Architect/ Data Scientist (TS/SCI clearance),"$123,391 /yr (est.)","Data Architect / Data Scientist TS/SCI clearance Work Location: Warrenton, VA, Fairfax, VA or The Pentagon You will utilize your demonstrated prior experience in Data Architecture, Data Modeling, Data Engineering, Data Science and Solution Architecture. Your role includes writing technical position papers and presentations to senior leaders within DOD/IC. Description: Demonstrated experience with data modeling, data architecture, enterprise architecture, solution architecture and overall technical integration of diverse data sources into major enterprise applications: • Experience Conceptual Data Model, Logical Model, and Physical Data Models.. • Demonstrated experience understanding various data standardization specifications in DOD/IC. • Demonstrated experience with Data Science tools. • Demonstrated experience using tools to develop data models and enterprise architecture models (DOAF, AV2, Data Dictionaries etc.,). CAMEO Magicdraw, VISIO and other tools experience is preferred. • Demonstrated experience analyzing relational and non-relational database architecture(s). • Demonstrated experience reconciling complex data sets into easily consumable taxonomies for software application development. • Demonstrated experience working in complex, fast paced and agile environments. Desired Skills: • Data Modeling, Data Architecture, Data Science • Experience within an Agile environment • Use of productivity tools such as Jira/Confluence and Github • Demonstrated prior experience as database administrator and/or Data Architect • Cloud databases knowledge (AWS RDS, Cloudera etc.,) • Hands-on data model development using tools such as ERWIN, VISIO, CAMEO MAGICDRAW etc., • Knowledge of DOD ISR and/or Targeting environments. • Prior service at any DOD Service or COMBATANT COMMAND(s) is highly desirable. Responsibilities: • Applies knowledge and provides guidance to all phases of the software engineering, data architecture and data science disciplines.. • Applies knowledge in analyzing user/business needs and functionality to plan and design software systems to meet those needs. • May act as a consultant across multiple programs and/or contracts within a Division. • Applies knowledge and provides guidance for software updates, refinement, testing, and debugging to meet business needs. • Provides expert knowledge and guidance on the software or system process for optimal documentation and future maintenance and updates. • May provide guidance and work leadership to less-experienced team-members. Desired Qualifications: • Associates or Bachelor’s Degree in Computer Science or related disciplines • 10-12 Years overall Experience in Data Architecture, Data Modeling and Data Science",4.1,"ALTA IT Services
4.1","Washington, DC",201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Director of Data Science Python (hands on),"$175,000 /yr (est.)","Director of Data Science Python (hands on)
This will be a full time role offering a generous base salary + amazing (full) benefits!

This role will be mainly remote but will require occasional on-site work in our Stamford, CT office.

Our team is about 70 people in size (We've been steadily growing since our inception 13 years ago!)
We are a profitable, web-based financial research and media company providing information centering around investment.
What You Will Be Doing
Collaborate with our Research Team to improve existing processes, develop new data sets, and deploy cutting edge analytical techniques
Explore new sources, technologies, methodologies, and opportunities in the data field to then present, train and propose these approaches

Bonus points:



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4.3,"CyberCoders
4.3","Stamford, CT",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Principal Data Scientist,"$119,098 /yr (est.)","Job Summary:

Job Responsibilties:
Utilizes statistical modeling to make predictions about future outcomes and in multiple scenarios. Evangelizes new ideas / technologies / solutions to gain acceptance from a wide range of audiences.
Interprets and applies data in the most complex analyses and explains findings to business audiences to improve products and processes.
Sets the vision for manipulation and analysis of large and complex data sets.
Leads the development and execution of statistical and mathematical analyses to support business decisions enterprise wide or for multiple business functions. Analyses have substantial impact on business operations or outcomes.

About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170 year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high quality products and services in communities nationwide.",3.1,"WALGREENS
3.1","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Arity - Data Scientist - Expert ML Researcher,"$182,375 /yr (est.)","Founded by The Allstate Corporation in 2016, Arity is a data and analytics company focused on improving transportation. We collect and analyze enormous amounts of data, using predictive analytics to build solutions with a single goal in mind: to make transportation smarter, safer and more useful for everyone.

At the heart of that mission are the people that work here—the dreamers, doers and difference-makers that call this place home. As part of that team, your work will showcase both your intelligence and your creativity as you tackle real problems and put your talents towards transforming transportation.

That’s because at Arity, we believe work and life shouldn’t be at odds with one another. After all, we know that your unique qualities give you a unique perspective. We don’t just want you to see yourself here. We want you to be yourself here.

The Role:
We are seeking a highly motivated and experienced Data Scientist - Expert ML Researcher to work across Arity and tackle our toughest technical challenges to lay the foundation for future success in coming years. As a member of the Core Telematics Data Science team, you will enjoy the strong partnership and collaboration of other data scientists and experts who are as passionate about shaping the future of mobility data science as you are. You will shape the research roadmap by finding the most impactful projects and help establish our research strategy for how we engage internal teams as well as external partners. Your experience in multiple companies and domains will lend itself to helping our teams improve their technical capabilities. You will consult on DS/ML architecture and patterns to help teams avoid common pitfalls in data science projects. As an expert technical data scientist within Arity, you will advocate for the needs of data science broadly, lead the entire data scientist discipline by example, and coach and mentor across the team. Responsibilities:
Make deep technical contributions to the Core Telematics Data Science team by building models, pipelines, or prototypes and reviewing the contributions of others
Key contributor to the vision, strategy and roadmap of the Core Telematics Data Science team using your technical expertise and domain knowledge
Encourage risk taking and innovation while keeping an eye towards business value
Help Arity continue to improve data science and ML practices across the team, and consult across product teams on DS/ML architecture, patterns and best practices
Bring in external viewpoints on how best to do telematics data science via scientific literature, conferences, speakers, and contacts across industries
Contribute to the broader data science community via technical blogs, white papers and speaking events. Help shape Arity’s approach to creating a strong external presence
Help support our culture of intellectual honesty and openness, passion for what we do, hard work, and personal growth.
Build the Arity technical brand by engaging in conferences, meetups, blogs, and other external public engagements
Support recruiting by leading efforts to build relationships in the industry, attend career fairs and create strong interviewing pipelines


Advanced degree in Geospatial Science, Mathematics, Statistics, Physics, Computer Science, or Engineering, or related quantitative field preferred
Deep subject matter expertise in data science gained from academic studies and/or significant experience as a top echelon data scientist or researcher at multiple companies
Strong technical capability to build models, pipelines, prototypes, visualizations and analyses using standard data science tool sets, e.g. Python, R, Spark, C
Broad knowledge of the landscape of statistical and machine learning techniques (both traditional and deep learning). Proven ability to find the right approach and manage trade-off’s
Strong research capabilities to synthesize the literature and other sources of new ideas, identify potential new avenues of development, and communicate their value to our business
Passion for technical mentorship across the larger team, and ability to manage a few highly self-sufficient technical contributors
Solid communication skills to drive adoption of your innovations and better understand the company and its strategy
Knowledge in sensors, telematics, insurance, geospatial, data science on the edge, or other domains specifically relevant to our work is a big plus, but not required
Ability to envision and articulate radical change through highly innovative thought leadership
Comfortable in a fast-paced environment with high ambiguity; inspires others to embrace this
Competitive with themselves while being humble
The preceding description is not designed to be a complete list of all duties and responsibilities. May be required to perform other related duties as assigned. Regular, predictable attendance is an essential function of this job.
Compensation offered for this role is $154,400.00-$210,350.00 per year and is based on experience and qualifications.

The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.
That’s the day-to-day, now let’s talk about the rest of it. As we mentioned, Arity was founded by The Allstate Corporation. But you’ll be working for—and at—Arity. It’s the best of both worlds. You’ll get access to the full suite of Allstate benefits and work in a fast-paced startup culture. That’s more than just free breakfasts and brain breaks. It’s a culture that encourages you to be you.
Sound like a fit? Apply now! We can’t wait to meet you.
Arity.com Instagram Twitter LinkedIn
Allstate generally does not sponsor individuals for employment-based visas for this position.
Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “ here ”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs
To view the FMLA poster, click “ here ”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.
It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment",3.4,"Allstate
3.4","Chicago, IL",10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
Statistical Programmer 2 (Oncology) Fsp: Remote,"$90,000 /yr (est.)","Statistical Programmer 2 (Oncology) FSP: Remote: These permanent, remote opportunities can be worked from anywhere in U. S. or Canada regions #LI-REMOTE
Requires Strong Oncology and Lead experience
Looking for at least 2 years of Oncology experience
Needs strong ADaM experience including creation of ADaM specifications and creating ADaM datasets",3.8,"Labcorp
3.8","Wilmington, NC",10000+ Employees,1978,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Scientist Senior Technical Specialist,"$190,000 /yr (est.)","Responsibilities:
Involved in the analysis of unstructured and semi-structured data, including latent semantic indexing (LSI), entity identification and tagging, complex event processing (CEP), and the application of analysis algorithms on distributed, clustered, and cloud-based high-performance infrastructures. Exercises creativity in applying non-traditional approaches to large-scale analysis of unstructured data in support of high-value use cases visualized through multi-dimensional interfaces. Handle processing and index requests against high-volume collections of data and high-velocity data streams. Has the ability to make discoveries in the world of big data.

Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy sophisticated applications using advanced unstructured and semi-structured data analysis techniques and utilizing high-performance computing environments. Has the ability to utilize advance tools and computational skills to interpret, connect, predict and make discoveries in complex data and deliver recommendations for business and analytic decisions. Experience with software development, either an open-source enterprise software development stack (Java/Linux/Ruby/Python) or a Windows development stack (.NET, C#, C++). Experience with data transport and transformation APIs and technologies such as JSON, XML, XSLT, JDBC, SOAP and REST. Experience with Cloud-based data analysis tools including Hadoop and Mahout, Acumulo, Hive, Impala, Pig, and similar. Experience with visual analytic tools like Microsoft Pivot, Palantir, or Visual Analytics. Experience with open source textual processing such as Lucene, Sphinx, Nutch or Solr. Experience with entity extraction and conceptual search technologies such as LSI, LDA, etc. Experience with machine learning, algorithm analysis, and data clustering.


BS 12-15, MS 10-13. Phd 10+


Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our employees do the can’t be done, solving the most daunting challenges facing our customers.

$146,000 - $234,000. This represents the typical salary range for this position based on experience and other factors. EEO Tagline (Text Only): An Equal Opportunity Employer including Disability/Veteran.",3.6,"Peraton
3.6","Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
"Staff Software Engineer, Machine Learning","$130,000 /yr (est.)","We are currently recruiting for a Staff Software Engineer, Machine Learning who can develop software and network applications that will enhance Our Client’s product line. You will take leadership in the development of applications that provide functionality to Our Client products, with an emphasis on real-time, multitasking designs.

What you will do in the position:
Design infrastructure for collecting training data from devices deployed in the field and build tools for verifying our neural networks in real-world environments.
Define, implement, and optimize performance metrics for computer vision, data exploration, data analysis, and automated data validation pipeline
Validate the algorithms and models in pre and post-production environments
Research and identify industry-leading technical trends and technologies and translate your findings to suit Our Client's business needs

Our benefits package includes tuition reimbursement; 3 weeks paid vacation your first year, paid holidays, medical, vision and dental coverage, pet insurance, life insurance, and 401K contributions.

The physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The employee will occasionally lift and move up to 10 pounds, 50 pounds with assistance.",-1.0,Oculus Search Partners LLC,"Carlsbad, CA",1 to 50 Employees,-1,Self-employed,-1,-1,Less than $1 million (USD)
Statistical Programmer - Contractor,"$82,622 /yr (est.)","Statistical Programmer Long term contract Hybrid - 3 days onsite in Florham Park, NJ Perform programming support for the statistical analysis and database management. RESPONSIBILITES Creation of SAS programs to Develop or Validate SDTM/ADaM/TLFs. Provide oversight for CRO SDTM/ADaM/TLFs deliverables for multiple studies. Generate/review SDTM mapping specifications, annotated CRFs, ADaM specifications for inhouse and outsourced studies. Generate/review Define. XML files and reviewer’s guides using standard tools/templates per CDISC and FDA guidelines. Support responses to health authority information requests, publications, adhoc analysis. REQUIREMENTS BS or MS in Computer Science or Biostatistics or equivalent industry experience. 5 years of industry experience in SAS programming to include: SDTM, ADaM and TLF. Expertise in SAS language, procedures, and options including Macro language, BASE SAS, SAS/STAT , SAS Macro and SAS/GRAPH. Good knowledge of 21CFR11 and GCP. 2+ years of oversight experience for a CRO is preferred. 5 years of review/generating SDTM mapping specifications, annotated CRFs and ADaM specifications. 5 years of CDISC and FDA standards knowledge. 5 years of experience in generating Define.XML and Reviewer’s Guides. Creation of all files, documents, and analyses necessary to support electronic submission(s) in an eCTD format, including ISS/ISE.",4.5,"Joule
4.5","Florham Park, NJ",201 to 500 Employees,1965,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Data Scientist II,"$100,476 /yr (est.)","SUMMARY
In this role, you will working collaboration with stakeholders from various departments within the organization to provide advanced data-driven solutions, business insights and support decisions. As a data scientist II in the analytics team, you will have a sound knowledge and experience Statistical Models, Data Mining, Machine Learning, building analytical solutions to deliver insights, insights communication and presentation, as well as demonstrating the ability to combine advanced analytics skills with exceptional business acumen. In addition, you will be key to the success of the department’s goal of creating a reliable foundation for ongoing reporting and analytics.
BEHAVIORALCOMPETENCIES
Action oriented- Taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm.",3.5,"Christus Health
3.5","Irving, TX",10000+ Employees,1869,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD)
Data Scientist,"$137,500 /yr (est.)","Data Scientist
Job Title: Data Scientist
Location: Houston, Texas
Salary: 120K-155K /yr
Requirement: Python, Predictive Modeling, Data Visualization

If you are a Data Scientist with experience, please read on!
Top Reasons to Work with Us
Based out of Houston, TX we are a well integrity software and advisory services company dedicated to working closely with clients to establish and continuously improve the safest and most efficient well integrity operations possible. We nurture a collaborative and innovative work culture.






All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",4.3,"CyberCoders
4.3","Houston, TX",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Manager,"$160,000 /yr (est.)","Salary: $150k - 170k per year
Reference: 17284
Job Summary
The Data Manager is an expert in managing data, processing, modeling, analysis, and reporting. This role will work within IS Department to develop and manage data models, data systems, data processes, and internal and customer facing reports. This role will manage the Data team responsible for accurate data collection, reporting, and dashboards that will create and drive quality data-driven decision making. This role will use advanced data modeling, predictive modeling, data science, and analytical techniques to draw insights from company data and convert these insights into strategic and business outcomes. This role will also work very closely with Business stakeholders, the Software Development Manager, Software developers, other IS Department teams.",4.2,"The HT Group
4.2","Austin, TX",1 to 50 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
Sr Statistical Programmer Analyst I,-1,"Currently we're working with an exciting Clinical Research Organization/FSP company based in the Greater Philadelphia Area. Due to recent growth in the Biometrics team and the start of further projects, they are looking for a experienced hands-on/lead Statistical Programmer in the industry.
This Statistical Programmer position will:
Provide input of data-sets, validation plan specification, as well as performing data submission review.
Oversee programming activities done by external vendors
Develop SOPs and other technical documents, and provide input to the database and CRF development.
Perform production and validation of SDTM/ADaM datasets",2.6,"EPM Scientific
2.6",Remote,51 to 200 Employees,2012,Company - Public,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Manager Statistical Programming,"$150,000 /yr (est.)","Manager, Statistical Programming NJ, Hybrid role (2-3 days on office) The Manager, Statistical Programming is a member of the Biostatistics team and plays a lead role in performing all SAS programming tasks required for clinical trial analysis and reporting. This individual works closely with Clinical Development, Biostatistics, and Data Management colleagues on various clinical projects, and may function as the lead statistical programmer on multiple projects. Responsibilities: Manages assignments and programming on multiple projects. Participates in the development of and ensures compliance to Standard Operating Procedures (SOPs), policies, and guidelines. Remains informed of new developments in programming that are relevant to the industry and contributes to the innovation of new reporting systems. Establishes and implements programming standards and complies with regulatory requirements among project team members and across studies. Develops standard macros and/or tools in SAS for data analysis and reporting. Assists with statistical quality assurance review. Reviews deliverables before transfer to either internal or external clients. Ensures that SAS programs developed for specific protocols are effectively translatable to other protocols (reusable code). Performs the work of statistical programming services across sites to achieve quality, timely, and cost-effective study deliverables. Responsible for hands-on programming for ADaM datasets and TLF deliverables. Requirements: MS degree in statistics or computing-related field or equivalent training required A minimum of 6 years of industry or CRO experience required. Experience leading SAS programming projects in the pharmaceutical industry, demonstrated by the ability to independently act as the point of contact for statistical programming over all phases of clinical trials. Proficient in industry standards, medical terminology, and clinical trial methodologies. Possesses project management skills within the Statistical Programming function. Regulatory (FDA and EMA) submission experience (including CDISC preparation) is highly preferred",4.5,"Joule
4.5","Cranbury, NJ",201 to 500 Employees,1965,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Physiological Data Modeling Computational Research Scientist I or II,"$90,000 /yr (est.)","Hybrid in Bethesda, Maryland Physiological Data Modeling Computational Research Scientist I or II Seeking a Physiological Data Modeling Computational Research Scientist I or II to perform interdisciplinary research, combining physical, computational, and life-science research, to improve the efficiency and efficacy in the development of militarily relevant medical products. Research in this area focuses on the development of individual-specific mathematical models and artificial intelligence (AI) algorithms for preventing non-battle injuries, optimizing and enhancing Soldier performance, and optimizing casualty care. Proven computational experience with solid knowledge of informatics tools and visualization/data mining package Proficiency in common database/programming/scripting languages (e.g., SQL, R, Python, Perl, Java, MATLAB, C++) and their application in biomedical research Excellent communication skills Ability to troubleshoot technical procedures Good analytical skills Ability to work independently in a deadline-driven environment. Supervisory Responsibilities Assigned Lead: May recommend the following: employee hiring, disciplinary action, and starting salaries; provide input on employee performance evaluations. Qualifications Work Environment This position will take place primarily in an office setting. Education and Experience Doctoral Degree in Engineering, Computational Physics, Mathematics or related field. Level I: Minimum of 0-2 years experience required. - PhD Level II: Minimum of 3-5 years experience required. - PhD",4.5,"Joule
4.5","Frederick, MD",201 to 500 Employees,1965,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
"Lead, Data Scientist Regulatory Intelligence and Policy Research (REMOTE)","$166,600 /yr (est.)","By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
About the role:
At Takeda, we are a forward-looking, world-class R&D organization that unlocks innovation and delivers transformative therapies to patients. By focusing R&D efforts on four therapeutic areas and other targeted investments, we push the boundaries of what is possible to bring life-changing therapies to patients worldwide.
Massachusetts - Virtual
Employee
Regular
Full time",4.1,"Takeda Pharmaceutical
4.1","Boston, MA",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
"PhD Director, Data Science R&D (Decision Sciences Identity Team - Chicago or Remote)","$105,882 /yr (est.)","Job Description

In this role, you will assume leadership of a research team of PhD Data Scientists who are driving R&D efforts to advance Epsilon's householding identity match capabilities. The team leverages data science, machine learning and other disciplines to create new data-driven capabilities for our real-time digital marketing business. You will individually contribute to Identity-related R&D projects, contribute to our strategic vision, and create opportunities that directly impact the success of the business, as well as support, mentor, and directly manage those within your team.

We prioritize analytical thinking, creativity, and computer science skills over ad tech industry experience. If using internet-scale data to drive business impact excites you, and you enjoy the kind of problem-solving that starts with a blank sheet of paper and results in a new technological reality, we want to talk to you.









For decades, we've been helping marketers from the world's top brands personalize experiences for millions of people with our cutting-edge technology, solutions and services. Epsilon's best-in-class identity gives brands a clear, privacy-safe view of their customers, which they can use across our suite of digital media, messaging and loyalty solutions. We process 400+ billion consumer actions each day and hold many patents of proprietary technology, including real-time modeling languages and consumer privacy advancements. Thanks to the work of every employee, Epsilon has been consistently recognized as industry-leading by Forrester, Adweek and the MRC. Positioned at the core of Publicis Groupe, Epsilon is a global company with more than 8,000 employees around the world. Check out a few of these resources to learn more about what makes Epsilon so EPIC:



We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.

Epsilon is an Equal Opportunity Employer. Epsilon's policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.

Epsilon will provide accommodations to applicants needing accommodations to complete the application process.

For San Francisco Bay and Los Angeles Areas: Epsilon will consider for employment qualified applicants with criminal histories in a manner consistent with the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance and San Francisco Police Code Sections 4901-4919, commonly referred to as the San Francisco Fair Chance Ordinance.

Applicants with criminal histories are welcome to apply.

#LI-EB1

REF186864J",3.9,"Epsilon
3.9","Chicago, IL",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD)
Sr. Data Analyst,-1,"Who We Are:
Gift of Life Donor Program, the non-profit agency serving eastern Pennsylvania, southern New Jersey, and Delaware. We are responsible for recovering organs and tissues used in lifesaving and life-enhancing transplants. Because of the critical work we do we were open all through COVID
Job Summary:
Be responsible for the delivery of reporting and business intelligence deliverables to internal and external stakeholders to make informed decisions and/or derive insights with respect to Gift of Life Donor Program (GLDP) strategic goals and objectives utilizing Power BI and SSRS.
*
What we want in a Senior Data Analyst:*
Degreed, strong data analyst with clinical experience is ideal",-1.0,Gift of Life Donor Program,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
